"","station_name","datetime","predicted"
"144","Commercial at Montgomery","2014-09-04",4.33113186465502
"145","Commercial at Montgomery","2014-09-05",1.3445402871705
"146","Commercial at Montgomery","2014-09-06",0.513275753013807
"147","Commercial at Montgomery","2014-09-07",-0.165801495544063
"148","Commercial at Montgomery","2014-09-08",2.52964599577439
"149","Commercial at Montgomery","2014-09-09",3.13496656935608
"150","Commercial at Montgomery","2014-09-10",5.85166549307697
"151","Commercial at Montgomery","2014-09-11",4.71828922707117
"152","Commercial at Montgomery","2014-09-12",1.73169764958666
"153","Commercial at Montgomery","2014-09-13",0.900433115429965
"154","Commercial at Montgomery","2014-09-14",0.221355866872095
"155","Washington at Kearny","2014-09-01",2.95437956738012
"156","Washington at Kearny","2014-09-02",0.527537166002899
"157","Washington at Kearny","2014-09-03",0.000771273971712227
"158","Washington at Kearny","2014-09-04",3.8073367682952
"159","Washington at Kearny","2014-09-05",-0.100384026651212
"160","Washington at Kearny","2014-09-06",-2.12683187522132
"161","Washington at Kearny","2014-09-07",-1.53482993796374
"162","Washington at Kearny","2014-09-08",2.11874704740088
"163","Washington at Kearny","2014-09-09",-0.308095353976345
"164","Washington at Kearny","2014-09-10",-0.834861246007532
"165","Washington at Kearny","2014-09-11",2.97170424831596
"166","Washington at Kearny","2014-09-12",-0.936016546630456
"167","Washington at Kearny","2014-09-13",-2.96246439520056
"168","Washington at Kearny","2014-09-14",-2.37046245794298
"169","Grant Avenue at Columbus Avenue","2014-09-01",-16.3157551624637
"170","Grant Avenue at Columbus Avenue","2014-09-02",-19.2722219370327
"171","Grant Avenue at Columbus Avenue","2014-09-03",-21.6524562165479
"172","Grant Avenue at Columbus Avenue","2014-09-04",-20.4825224171509
"173","Grant Avenue at Columbus Avenue","2014-09-05",-12.2353110305622
"174","Grant Avenue at Columbus Avenue","2014-09-06",-4.97536004075899
"175","Grant Avenue at Columbus Avenue","2014-09-07",-4.2245038603776
"176","Grant Avenue at Columbus Avenue","2014-09-08",-17.2292918276937
"177","Grant Avenue at Columbus Avenue","2014-09-09",-20.1857586022627
"178","Grant Avenue at Columbus Avenue","2014-09-10",-22.5659928817779
"179","Grant Avenue at Columbus Avenue","2014-09-11",-21.3960590823809
"180","Grant Avenue at Columbus Avenue","2014-09-12",-13.1488476957922
"181","Grant Avenue at Columbus Avenue","2014-09-13",-5.88889670598903
"182","Grant Avenue at Columbus Avenue","2014-09-14",-5.13804052560764
"183","Embarcadero at Sansome","2014-09-01",7.28305440487239
"184","Embarcadero at Sansome","2014-09-02",9.63688801475651
"185","Embarcadero at Sansome","2014-09-03",10.6544988933842
"186","Embarcadero at Sansome","2014-09-04",11.3751071131996
"187","Embarcadero at Sansome","2014-09-05",12.0734215187347
"188","Embarcadero at Sansome","2014-09-06",11.1221350454379
"189","Embarcadero at Sansome","2014-09-07",14.2523622376256
"190","Embarcadero at Sansome","2014-09-08",8.09447534821452
"191","Embarcadero at Sansome","2014-09-09",10.4483089580986
"192","Embarcadero at Sansome","2014-09-10",11.4659198367264
"193","Embarcadero at Sansome","2014-09-11",12.1865280565418
"194","Embarcadero at Sansome","2014-09-12",12.8848424620768
"195","Embarcadero at Sansome","2014-09-13",11.93355598878
"196","Embarcadero at Sansome","2014-09-14",15.0637831809678
"197","Embarcadero at Vallejo","2014-09-01",5.42400729730798
"198","Embarcadero at Vallejo","2014-09-02",2.65368010940118
"199","Embarcadero at Vallejo","2014-09-03",7.4718962119434
"200","Embarcadero at Vallejo","2014-09-04",8.22173856782842
"201","Embarcadero at Vallejo","2014-09-05",6.91174973273613
"202","Embarcadero at Vallejo","2014-09-06",6.48727480439111
